"x"
""
"que la vida dure todo el dia"
"Que no sea lento."
"apalanes telefónicos"
"que me guste"
"que sea rápido "
"Que no se trabe al abrir las aplicaciones."
"modernidad"
"que tenga mas duración de batería"
"que sea android"
"que tome buenas fotos"
"que sea el más actual y moderno"
"en su tecnología la más actual"
"salga uno que me guste de la misma marca "
"la empresa me.lo da "
"que sea rápido, resistente "
"Que pueda abrir las aplicaciones sin problemas."
"que tenga Android"
"que tenga un buen tamaño"
"que sea rápida "
"que se escuche bien "
"que me guste, sea contra agua "
"que sea barato y efectivo "
"Que sea marca apple"
"que le dure la pila"
"pantalla grande"
"que funcione bien "
"que tenga buena señal"
"que no falle"
