"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51"
"14","Secundaria o Carrera Comercial","364","32.6","192","34.8","172","30.5","0","NaN","16","7.7","45","20.5","71","27","131","52.4","101","58.4","0","NaN","60","24.9","127","30.8","106","37.3","71","39.9","68","28.7","51","28.5","54","34","69","37.7","54","30.5","68","37.8","159","37.1","112","36.8","25","26.9","68","23.5","0","NaN"
"15","Preparatoria o Carrera Técnica","457","41","216","39.2","241","42.7","0","NaN","80","38.3","138","62.7","140","53.2","74","29.6","25","14.5","0","NaN","126","52.3","173","42","107","37.7","51","28.7","120","50.6","75","41.9","72","45.3","87","47.5","61","34.5","42","23.3","167","38.9","112","36.8","37","39.8","141","48.8","0","NaN"
"16","Universidad / Posgrado","178","16","96","17.4","82","14.5","0","NaN","107","51.2","29","13.2","29","11","11","4.4","2","1.2","0","NaN","33","13.7","78","18.9","48","16.9","19","10.7","43","18.1","25","14","27","17","19","10.4","40","22.6","24","13.3","57","13.3","44","14.5","12","12.9","65","22.5","0","NaN"
"17","No sabe/ no contestó","12","1.1","2","0.4","10","1.8","0","NaN","2","1","2","0.9","3","1.1","1","0.4","4","2.3","0","NaN","3","1.2","4","1","3","1.1","2","1.1","0","0","12","6.7","0","0","0","0","0","0","0","0","4","0.9","4","1.3","1","1.1","3","1","0","NaN"
"18","Total","1115","100","551","100","564","100","0","NaN","209","100","220","100","263","100","250","100","173","100","0","NaN","241","100","412","100","284","100","178","100","237","100","179","100","159","100","183","100","177","100","180","100","429","100","304","100","93","100","289","100","0","NaN"
"19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20","P10_CEL","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"21","TRUE","1115","100","551","100","564","100","0","NaN","209","100","220","100","263","100","250","100","173","100","0","NaN","241","100","412","100","284","100","178","100","237","100","179","100","159","100","183","100","177","100","180","100","429","100","304","100","93","100","289","100","0","NaN"
"22","FALSE","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"23","Total","1115","100","551","100","564","100","0","NaN","209","100","220","100","263","100","250","100","173","100","0","NaN","241","100","412","100","284","100","178","100","237","100","179","100","159","100","183","100","177","100","180","100","429","100","304","100","93","100","289","100","0","NaN"
