"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51"
"1","genero","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"26","Monterrey","7","7.8","4","8.9","3","6.7","0","NaN","4","17.4","1","5.3","2","7.4","0","0","0","0","0","NaN","2","9.5","2","5.9","1","3.6","2","28.6","0","0","0","0","7","100","0","0","0","0","0","0","3","6.5","1","4.5","0","0","3","16.7","0","NaN"
"27","Guadalajara","14","15.6","7","15.6","7","15.6","0","NaN","3","13","5","26.3","6","22.2","0","0","0","0","0","NaN","3","14.3","6","17.6","3","10.7","2","28.6","0","0","0","0","0","0","14","100","0","0","0","0","7","15.2","3","13.6","1","25","3","16.7","0","NaN"
"28","Puebla","24","26.7","9","20","15","33.3","0","NaN","1","4.3","4","21.1","7","25.9","8","61.5","4","50","0","NaN","7","33.3","5","14.7","11","39.3","1","14.3","0","0","0","0","0","0","0","0","24","100","0","0","17","37","6","27.3","0","0","1","5.6","0","NaN"
"29","Mérida","22","24.4","15","33.3","7","15.6","0","NaN","7","30.4","3","15.8","6","22.2","3","23.1","3","37.5","0","NaN","4","19","11","32.4","6","21.4","1","14.3","0","0","0","0","0","0","0","0","0","0","22","100","11","23.9","7","31.8","0","0","4","22.2","0","NaN"
"30","Total","90","100","45","100","45","100","0","NaN","23","100","19","100","27","100","13","100","8","100","0","NaN","21","100","34","100","28","100","7","100","14","100","9","100","7","100","14","100","24","100","22","100","46","100","22","100","4","100","18","100","0","NaN"
"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32","edoCivilHijos","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"33","Casado con hijos","46","51.1","21","46.7","25","55.6","0","NaN","12","52.2","11","57.9","15","55.6","6","46.2","2","25","0","NaN","6","28.6","14","41.2","21","75","5","71.4","4","28.6","4","44.4","3","42.9","7","50","17","70.8","11","50","46","100","0","0","0","0","0","0","0","NaN"
"34","Casado sin hijos","22","24.4","11","24.4","11","24.4","0","NaN","5","21.7","2","10.5","5","18.5","4","30.8","6","75","0","NaN","3","14.3","13","38.2","4","14.3","2","28.6","4","28.6","1","11.1","1","14.3","3","21.4","6","25","7","31.8","0","0","22","100","0","0","0","0","0","NaN"
"35","Soltero con Hijos","4","4.4","2","4.4","2","4.4","0","NaN","1","4.3","1","5.3","1","3.7","1","7.7","0","0","0","NaN","0","0","1","2.9","3","10.7","0","0","2","14.3","1","11.1","0","0","1","7.1","0","0","0","0","0","0","0","0","4","100","0","0","0","NaN"
