"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51","NA52","NA53","NA54","NA55","NA56","NA57","NA58","NA59","NA60","NA61","NA62","NA63","NA64","NA65","NA66","NA67","NA68","NA69","NA70","NA71","NA72","NA73","NA74","NA75"
"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12","P9_1","Total_Total_f","Total_Total_pct","P15_Celular_TRUE_f","P15_Celular_TRUE_pct","P15_Celular_FALSE_f","P15_Celular_FALSE_pct","P15_Tablet___Ipad_TRUE_f","P15_Tablet___Ipad_TRUE_pct","P15_Tablet___Ipad_FALSE_f","P15_Tablet___Ipad_FALSE_pct","P15_Computadora__Lap_Top_TRUE_f","P15_Computadora__Lap_Top_TRUE_pct","P15_Computadora__Lap_Top_FALSE_f","P15_Computadora__Lap_Top_FALSE_pct","P15_1_Celular_TRUE_f","P15_1_Celular_TRUE_pct","P15_1_Celular_FALSE_f","P15_1_Celular_FALSE_pct","P15_1_Tablet___Ipad_TRUE_f","P15_1_Tablet___Ipad_TRUE_pct","P15_1_Tablet___Ipad_FALSE_f","P15_1_Tablet___Ipad_FALSE_pct","P15_1_Computadora__Lap_Top_TRUE_f","P15_1_Computadora__Lap_Top_TRUE_pct","P15_1_Computadora__Lap_Top_FALSE_f","P15_1_Computadora__Lap_Top_FALSE_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"13","No estudió / Primaria","104","9.1","104","9.3","0","0","0","0","104","9.4","2","1.9","102","9.8","0","0","104","9.1","13","14.4","91","8.6","4","2.6","100","10.1","45","7.9","59","10.2","0","NaN","4","1.9","6","2.6","20","7.4","33","12.6","41","23.6","0","NaN","19","7.6","30","7.1","20","6.9","35","19.2","6","2.5","16","8.6","6","3.5","8","4.3","22","12","46","25.4","42","9.5","32","10.3","18","18.2","12","4","0","NaN"
"14","Secundaria o Carrera Comercial","369","32.1","364","32.6","5","14.7","7","15.9","362","32.8","11","10.3","358","34.4","0","0","369","32.2","16","17.8","353","33.3","27","17.3","342","34.4","194","34.1","175","30.2","0","NaN","16","7.5","45","19.6","71","26.3","135","51.7","102","58.6","0","NaN","60","23.9","131","30.8","107","36.8","71","39","68","28.2","51","27.4","55","32.2","69","36.9","57","31.1","69","38.1","162","36.8","113","36.2","25","25.3","69","23.2","0","NaN"
"15","Preparatoria o Carrera Técnica","481","41.9","457","41","24","70.6","22","50","459","41.5","50","46.7","431","41.4","1","50","480","41.8","32","35.6","449","42.4","77","49.4","404","40.7","231","40.6","250","43.1","0","NaN","83","38.8","148","64.3","146","54.1","79","30.3","25","14.4","0","NaN","133","53","180","42.4","113","38.8","55","30.2","122","50.6","81","43.5","82","48","91","48.7","63","34.4","42","23.2","175","39.8","118","37.8","42","42.4","146","49","0","NaN"
"16","Universidad / Posgrado","183","15.9","178","16","5","14.7","15","34.1","168","15.2","44","41.1","139","13.3","1","50","182","15.9","27","30","156","14.7","47","30.1","136","13.7","97","17","86","14.8","0","NaN","109","50.9","29","12.6","30","11.1","13","5","2","1.1","0","NaN","36","14.3","80","18.8","48","16.5","19","10.4","45","18.7","26","14","28","16.4","19","10.2","41","22.4","24","13.3","57","13","45","14.4","13","13.1","68","22.8","0","NaN"
"17","No sabe/ no contestó","12","1","12","1.1","0","0","0","0","12","1.1","0","0","12","1.2","0","0","12","1","2","2.2","10","0.9","1","0.6","11","1.1","2","0.4","10","1.7","0","NaN","2","0.9","2","0.9","3","1.1","1","0.4","4","2.3","0","NaN","3","1.2","4","0.9","3","1","2","1.1","0","0","12","6.5","0","0","0","0","0","0","0","0","4","0.9","4","1.3","1","1","3","1","0","NaN"
"18","Total","1149","100","1115","100","34","100","44","100","1105","100","107","100","1042","100","2","100","1147","100","90","100","1059","100","156","100","993","100","569","100","580","100","0","NaN","214","100","230","100","270","100","261","100","174","100","0","NaN","251","100","425","100","291","100","182","100","241","100","186","100","171","100","187","100","183","100","181","100","440","100","312","100","99","100","298","100","0","NaN"
"19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20","P10_CEL","Total_Total_f","Total_Total_pct","P15_Celular_TRUE_f","P15_Celular_TRUE_pct","P15_Celular_FALSE_f","P15_Celular_FALSE_pct","P15_Tablet___Ipad_TRUE_f","P15_Tablet___Ipad_TRUE_pct","P15_Tablet___Ipad_FALSE_f","P15_Tablet___Ipad_FALSE_pct","P15_Computadora__Lap_Top_TRUE_f","P15_Computadora__Lap_Top_TRUE_pct","P15_Computadora__Lap_Top_FALSE_f","P15_Computadora__Lap_Top_FALSE_pct","P15_1_Celular_TRUE_f","P15_1_Celular_TRUE_pct","P15_1_Celular_FALSE_f","P15_1_Celular_FALSE_pct","P15_1_Tablet___Ipad_TRUE_f","P15_1_Tablet___Ipad_TRUE_pct","P15_1_Tablet___Ipad_FALSE_f","P15_1_Tablet___Ipad_FALSE_pct","P15_1_Computadora__Lap_Top_TRUE_f","P15_1_Computadora__Lap_Top_TRUE_pct","P15_1_Computadora__Lap_Top_FALSE_f","P15_1_Computadora__Lap_Top_FALSE_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"21","TRUE","1117","97.2","1115","100","2","5.9","31","70.5","1086","98.3","88","82.2","1029","98.8","2","100","1115","97.2","90","100","1027","97","155","99.4","962","96.9","552","97","565","97.4","0","NaN","210","98.1","220","95.7","263","97.4","251","96.2","173","99.4","0","NaN","241","96","414","97.4","284","97.6","178","97.8","237","98.3","179","96.2","159","93","183","97.9","179","97.8","180","99.4","429","97.5","304","97.4","94","94.9","290","97.3","0","NaN"
"22","FALSE","32","2.8","0","0","32","94.1","13","29.5","19","1.7","19","17.8","13","1.2","0","0","32","2.8","0","0","32","3","1","0.6","31","3.1","17","3","15","2.6","0","NaN","4","1.9","10","4.3","7","2.6","10","3.8","1","0.6","0","NaN","10","4","11","2.6","7","2.4","4","2.2","4","1.7","7","3.8","12","7","4","2.1","4","2.2","1","0.6","11","2.5","8","2.6","5","5.1","8","2.7","0","NaN"
"23","Total","1149","100","1115","100","34","100","44","100","1105","100","107","100","1042","100","2","100","1147","100","90","100","1059","100","156","100","993","100","569","100","580","100","0","NaN","214","100","230","100","270","100","261","100","174","100","0","NaN","251","100","425","100","291","100","182","100","241","100","186","100","171","100","187","100","183","100","181","100","440","100","312","100","99","100","298","100","0","NaN"
"24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
