"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51","NA52","NA53","NA54","NA55","NA56","NA57","NA58","NA59","NA60","NA61","NA62","NA63","NA64","NA65","NA66","NA67","NA68","NA69","NA70","NA71","NA72","NA73","NA74","NA75"
"173","Muy indispensable","1","50","0","NaN","1","50","0","NaN","1","50","1","50","0","NaN","1","50","0","NaN","0","NaN","1","50","0","NaN","1","50","1","100","0","0","0","NaN","0","0","0","NaN","0","NaN","1","100","0","NaN","0","NaN","0","NaN","1","50","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","1","50","0","NaN","0","NaN","0","NaN","1","100","0","0","0","NaN"
"174","Indispensable","0","0","0","NaN","0","0","0","NaN","0","0","0","0","0","NaN","0","0","0","NaN","0","NaN","0","0","0","NaN","0","0","0","0","0","0","0","NaN","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","NaN","0","0","0","0","0","NaN"
"175","Da igual","1","50","0","NaN","1","50","0","NaN","1","50","1","50","0","NaN","1","50","0","NaN","0","NaN","1","50","0","NaN","1","50","0","0","1","100","0","NaN","1","100","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","NaN","1","50","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","1","50","0","NaN","0","NaN","0","NaN","0","0","1","100","0","NaN"
"176","Poco indispensable","0","0","0","NaN","0","0","0","NaN","0","0","0","0","0","NaN","0","0","0","NaN","0","NaN","0","0","0","NaN","0","0","0","0","0","0","0","NaN","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","NaN","0","0","0","0","0","NaN"
"177","Nada indispensable","0","0","0","NaN","0","0","0","NaN","0","0","0","0","0","NaN","0","0","0","NaN","0","NaN","0","0","0","NaN","0","0","0","0","0","0","0","NaN","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","NaN","0","0","0","0","0","NaN"
"178","Total","2","100","0","NaN","2","100","0","NaN","2","100","2","100","0","NaN","2","100","0","NaN","0","NaN","2","100","0","NaN","2","100","1","100","1","100","0","NaN","1","100","0","NaN","0","NaN","1","100","0","NaN","0","NaN","0","NaN","2","100","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","2","100","0","NaN","0","NaN","0","NaN","1","100","1","100","0","NaN"
"179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"180","P15d_TABLET","Total_Total_f","Total_Total_pct","P15_Celular_TRUE_f","P15_Celular_TRUE_pct","P15_Celular_FALSE_f","P15_Celular_FALSE_pct","P15_Tablet___Ipad_TRUE_f","P15_Tablet___Ipad_TRUE_pct","P15_Tablet___Ipad_FALSE_f","P15_Tablet___Ipad_FALSE_pct","P15_Computadora__Lap_Top_TRUE_f","P15_Computadora__Lap_Top_TRUE_pct","P15_Computadora__Lap_Top_FALSE_f","P15_Computadora__Lap_Top_FALSE_pct","P15_1_Celular_TRUE_f","P15_1_Celular_TRUE_pct","P15_1_Celular_FALSE_f","P15_1_Celular_FALSE_pct","P15_1_Tablet___Ipad_TRUE_f","P15_1_Tablet___Ipad_TRUE_pct","P15_1_Tablet___Ipad_FALSE_f","P15_1_Tablet___Ipad_FALSE_pct","P15_1_Computadora__Lap_Top_TRUE_f","P15_1_Computadora__Lap_Top_TRUE_pct","P15_1_Computadora__Lap_Top_FALSE_f","P15_1_Computadora__Lap_Top_FALSE_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"181","Muy indispensable","9","10","9","10","0","NaN","0","NaN","9","10","1","12.5","8","9.8","0","NaN","9","10","9","10","0","NaN","4","17.4","5","7.5","6","13.3","3","6.7","0","NaN","4","17.4","3","15.8","2","7.4","0","0","0","0","0","NaN","1","4.8","4","11.8","2","7.1","2","28.6","0","0","0","0","0","0","4","28.6","0","0","5","22.7","4","8.7","1","4.5","1","25","3","16.7","0","NaN"
"182","Indispensable","24","26.7","24","26.7","0","NaN","0","NaN","24","26.7","1","12.5","23","28","0","NaN","24","26.7","24","26.7","0","NaN","3","13","21","31.3","17","37.8","7","15.6","0","NaN","5","21.7","7","36.8","6","22.2","6","46.2","0","0","0","NaN","4","19","5","14.7","13","46.4","2","28.6","1","7.1","4","44.4","1","14.3","0","0","10","41.7","8","36.4","16","34.8","5","22.7","1","25","2","11.1","0","NaN"
"183","Da igual","34","37.8","34","37.8","0","NaN","0","NaN","34","37.8","4","50","30","36.6","0","NaN","34","37.8","34","37.8","0","NaN","7","30.4","27","40.3","15","33.3","19","42.2","0","NaN","5","21.7","5","26.3","14","51.9","4","30.8","6","75","0","NaN","9","42.9","16","47.1","8","28.6","1","14.3","5","35.7","2","22.2","3","42.9","6","42.9","12","50","6","27.3","18","39.1","11","50","0","0","5","27.8","0","NaN"
"184","Poco indispensable","15","16.7","15","16.7","0","NaN","0","NaN","15","16.7","2","25","13","15.9","0","NaN","15","16.7","15","16.7","0","NaN","4","17.4","11","16.4","4","8.9","11","24.4","0","NaN","6","26.1","1","5.3","4","14.8","3","23.1","1","12.5","0","NaN","4","19","6","17.6","4","14.3","1","14.3","5","35.7","1","11.1","3","42.9","2","14.3","1","4.2","3","13.6","4","8.7","5","22.7","1","25","5","27.8","0","NaN"
"185","Nada indispensable","8","8.9","8","8.9","0","NaN","0","NaN","8","8.9","0","0","8","9.8","0","NaN","8","8.9","8","8.9","0","NaN","5","21.7","3","4.5","3","6.7","5","11.1","0","NaN","3","13","3","15.8","1","3.7","0","0","1","12.5","0","NaN","3","14.3","3","8.8","1","3.6","1","14.3","3","21.4","2","22.2","0","0","2","14.3","1","4.2","0","0","4","8.7","0","0","1","25","3","16.7","0","NaN"
"186","Total","90","100","90","100","0","NaN","0","NaN","90","100","8","100","82","100","0","NaN","90","100","90","100","0","NaN","23","100","67","100","45","100","45","100","0","NaN","23","100","19","100","27","100","13","100","8","100","0","NaN","21","100","34","100","28","100","7","100","14","100","9","100","7","100","14","100","24","100","22","100","46","100","22","100","4","100","18","100","0","NaN"
"187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"188","P15d_COMPU","Total_Total_f","Total_Total_pct","P15_Celular_TRUE_f","P15_Celular_TRUE_pct","P15_Celular_FALSE_f","P15_Celular_FALSE_pct","P15_Tablet___Ipad_TRUE_f","P15_Tablet___Ipad_TRUE_pct","P15_Tablet___Ipad_FALSE_f","P15_Tablet___Ipad_FALSE_pct","P15_Computadora__Lap_Top_TRUE_f","P15_Computadora__Lap_Top_TRUE_pct","P15_Computadora__Lap_Top_FALSE_f","P15_Computadora__Lap_Top_FALSE_pct","P15_1_Celular_TRUE_f","P15_1_Celular_TRUE_pct","P15_1_Celular_FALSE_f","P15_1_Celular_FALSE_pct","P15_1_Tablet___Ipad_TRUE_f","P15_1_Tablet___Ipad_TRUE_pct","P15_1_Tablet___Ipad_FALSE_f","P15_1_Tablet___Ipad_FALSE_pct","P15_1_Computadora__Lap_Top_TRUE_f","P15_1_Computadora__Lap_Top_TRUE_pct","P15_1_Computadora__Lap_Top_FALSE_f","P15_1_Computadora__Lap_Top_FALSE_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"189","Muy indispensable","40","25.6","40","25.8","0","0","3","42.9","37","24.8","0","NaN","40","25.6","0","NaN","40","25.6","5","21.7","35","26.3","40","25.6","0","NaN","17","22.7","23","28.4","0","NaN","22","37.9","1","2.9","9","27.3","6","26.1","2","25","0","NaN","8","22.9","10","21.3","13","24.5","9","42.9","7","16.3","2","11.1","5","27.8","8","25.8","4","20","14","53.8","22","26.5","7","28","3","33.3","8","20.5","0","NaN"
"190","Indispensable","64","41","63","40.6","1","100","3","42.9","61","40.9","0","NaN","64","41","0","NaN","64","41","10","43.5","54","40.6","64","41","0","NaN","34","45.3","30","37","0","NaN","22","37.9","23","67.6","10","30.3","7","30.4","2","25","0","NaN","16","45.7","22","46.8","20","37.7","6","28.6","19","44.2","9","50","9","50","9","29","11","55","7","26.9","32","38.6","10","40","1","11.1","21","53.8","0","NaN"
"191","Da igual","23","14.7","23","14.8","0","0","0","0","23","15.4","0","NaN","23","14.7","0","NaN","23","14.7","2","8.7","21","15.8","23","14.7","0","NaN","12","16","11","13.6","0","NaN","6","10.3","4","11.8","5","15.2","5","21.7","3","37.5","0","NaN","5","14.3","8","17","7","13.2","3","14.3","5","11.6","1","5.6","4","22.2","7","22.6","4","20","2","7.7","14","16.9","4","16","1","11.1","4","10.3","0","NaN"
"192","Poco indispensable","18","11.5","18","11.6","0","0","1","14.3","17","11.4","0","NaN","18","11.5","0","NaN","18","11.5","3","13","15","11.3","18","11.5","0","NaN","6","8","12","14.8","0","NaN","6","10.3","2","5.9","8","24.2","2","8.7","0","0","0","NaN","5","14.3","5","10.6","8","15.1","0","0","8","18.6","4","22.2","0","0","4","12.9","0","0","2","7.7","10","12","3","12","0","0","5","12.8","0","NaN"
"193","Nada indispensable","11","7.1","11","7.1","0","0","0","0","11","7.4","0","NaN","11","7.1","0","NaN","11","7.1","3","13","8","6","11","7.1","0","NaN","6","8","5","6.2","0","NaN","2","3.4","4","11.8","1","3","3","13","1","12.5","0","NaN","1","2.9","2","4.3","5","9.4","3","14.3","4","9.3","2","11.1","0","0","3","9.7","1","5","1","3.8","5","6","1","4","4","44.4","1","2.6","0","NaN"
"194","Total","156","100","155","100","1","100","7","100","149","100","0","NaN","156","100","0","NaN","156","100","23","100","133","100","156","100","0","NaN","75","100","81","100","0","NaN","58","100","34","100","33","100","23","100","8","100","0","NaN","35","100","47","100","53","100","21","100","43","100","18","100","18","100","31","100","20","100","26","100","83","100","25","100","9","100","39","100","0","NaN"
"195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"196","P15e_CEL","Total_Total_f","Total_Total_pct","P15_Celular_TRUE_f","P15_Celular_TRUE_pct","P15_Celular_FALSE_f","P15_Celular_FALSE_pct","P15_Tablet___Ipad_TRUE_f","P15_Tablet___Ipad_TRUE_pct","P15_Tablet___Ipad_FALSE_f","P15_Tablet___Ipad_FALSE_pct","P15_Computadora__Lap_Top_TRUE_f","P15_Computadora__Lap_Top_TRUE_pct","P15_Computadora__Lap_Top_FALSE_f","P15_Computadora__Lap_Top_FALSE_pct","P15_1_Celular_TRUE_f","P15_1_Celular_TRUE_pct","P15_1_Celular_FALSE_f","P15_1_Celular_FALSE_pct","P15_1_Tablet___Ipad_TRUE_f","P15_1_Tablet___Ipad_TRUE_pct","P15_1_Tablet___Ipad_FALSE_f","P15_1_Tablet___Ipad_FALSE_pct","P15_1_Computadora__Lap_Top_TRUE_f","P15_1_Computadora__Lap_Top_TRUE_pct","P15_1_Computadora__Lap_Top_FALSE_f","P15_1_Computadora__Lap_Top_FALSE_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"197","Nos ponemos de acuerdo /organizamos","2","100","0","NaN","2","100","0","NaN","2","100","2","100","0","NaN","2","100","0","NaN","0","NaN","2","100","0","NaN","2","100","1","100","1","100","0","NaN","1","100","0","NaN","0","NaN","1","100","0","NaN","0","NaN","0","NaN","2","100","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","2","100","0","NaN","0","NaN","0","NaN","1","100","1","100","0","NaN"
"198","Quien lo tome primero es quien lo usa","0","0","0","NaN","0","0","0","NaN","0","0","0","0","0","NaN","0","0","0","NaN","0","NaN","0","0","0","NaN","0","0","0","0","0","0","0","NaN","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","NaN","0","0","0","0","0","NaN"
"199","Yo decido quien lo usa","0","0","0","NaN","0","0","0","NaN","0","0","0","0","0","NaN","0","0","0","NaN","0","NaN","0","0","0","NaN","0","0","0","0","0","0","0","NaN","0","0","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","0","0","NaN","0","NaN","0","NaN","0","0","0","0","0","NaN"
"200","Total","2","100","0","NaN","2","100","0","NaN","2","100","2","100","0","NaN","2","100","0","NaN","0","NaN","2","100","0","NaN","2","100","1","100","1","100","0","NaN","1","100","0","NaN","0","NaN","1","100","0","NaN","0","NaN","0","NaN","2","100","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","0","NaN","2","100","0","NaN","0","NaN","0","NaN","1","100","1","100","0","NaN"
"201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"202","P15e_TABLET","Total_Total_f","Total_Total_pct","P15_Celular_TRUE_f","P15_Celular_TRUE_pct","P15_Celular_FALSE_f","P15_Celular_FALSE_pct","P15_Tablet___Ipad_TRUE_f","P15_Tablet___Ipad_TRUE_pct","P15_Tablet___Ipad_FALSE_f","P15_Tablet___Ipad_FALSE_pct","P15_Computadora__Lap_Top_TRUE_f","P15_Computadora__Lap_Top_TRUE_pct","P15_Computadora__Lap_Top_FALSE_f","P15_Computadora__Lap_Top_FALSE_pct","P15_1_Celular_TRUE_f","P15_1_Celular_TRUE_pct","P15_1_Celular_FALSE_f","P15_1_Celular_FALSE_pct","P15_1_Tablet___Ipad_TRUE_f","P15_1_Tablet___Ipad_TRUE_pct","P15_1_Tablet___Ipad_FALSE_f","P15_1_Tablet___Ipad_FALSE_pct","P15_1_Computadora__Lap_Top_TRUE_f","P15_1_Computadora__Lap_Top_TRUE_pct","P15_1_Computadora__Lap_Top_FALSE_f","P15_1_Computadora__Lap_Top_FALSE_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"203","Nos ponemos de acuerdo /organizamos","54","60","54","60","0","NaN","0","NaN","54","60","5","62.5","49","59.8","0","NaN","54","60","54","60","0","NaN","14","60.9","40","59.7","27","60","27","60","0","NaN","14","60.9","9","47.4","17","63","8","61.5","6","75","0","NaN","11","52.4","24","70.6","15","53.6","4","57.1","9","64.3","5","55.6","4","57.1","7","50","16","66.7","13","59.1","26","56.5","16","72.7","2","50","10","55.6","0","NaN"
"204","Quien lo tome primero es quien lo usa","25","27.8","25","27.8","0","NaN","0","NaN","25","27.8","2","25","23","28","0","NaN","25","27.8","25","27.8","0","NaN","7","30.4","18","26.9","11","24.4","14","31.1","0","NaN","6","26.1","6","31.6","9","33.3","2","15.4","2","25","0","NaN","8","38.1","8","23.5","6","21.4","3","42.9","2","14.3","3","33.3","3","42.9","7","50","5","20.8","5","22.7","12","26.1","6","27.3","0","0","7","38.9","0","NaN"
"205","Yo decido quien lo usa","11","12.2","11","12.2","0","NaN","0","NaN","11","12.2","1","12.5","10","12.2","0","NaN","11","12.2","11","12.2","0","NaN","2","8.7","9","13.4","7","15.6","4","8.9","0","NaN","3","13","4","21.1","1","3.7","3","23.1","0","0","0","NaN","2","9.5","2","5.9","7","25","0","0","3","21.4","1","11.1","0","0","0","0","3","12.5","4","18.2","8","17.4","0","0","2","50","1","5.6","0","NaN"
"206","Total","90","100","90","100","0","NaN","0","NaN","90","100","8","100","82","100","0","NaN","90","100","90","100","0","NaN","23","100","67","100","45","100","45","100","0","NaN","23","100","19","100","27","100","13","100","8","100","0","NaN","21","100","34","100","28","100","7","100","14","100","9","100","7","100","14","100","24","100","22","100","46","100","22","100","4","100","18","100","0","NaN"
"207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"208","P15e_COMPU","Total_Total_f","Total_Total_pct","P15_Celular_TRUE_f","P15_Celular_TRUE_pct","P15_Celular_FALSE_f","P15_Celular_FALSE_pct","P15_Tablet___Ipad_TRUE_f","P15_Tablet___Ipad_TRUE_pct","P15_Tablet___Ipad_FALSE_f","P15_Tablet___Ipad_FALSE_pct","P15_Computadora__Lap_Top_TRUE_f","P15_Computadora__Lap_Top_TRUE_pct","P15_Computadora__Lap_Top_FALSE_f","P15_Computadora__Lap_Top_FALSE_pct","P15_1_Celular_TRUE_f","P15_1_Celular_TRUE_pct","P15_1_Celular_FALSE_f","P15_1_Celular_FALSE_pct","P15_1_Tablet___Ipad_TRUE_f","P15_1_Tablet___Ipad_TRUE_pct","P15_1_Tablet___Ipad_FALSE_f","P15_1_Tablet___Ipad_FALSE_pct","P15_1_Computadora__Lap_Top_TRUE_f","P15_1_Computadora__Lap_Top_TRUE_pct","P15_1_Computadora__Lap_Top_FALSE_f","P15_1_Computadora__Lap_Top_FALSE_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"209","Nos ponemos de acuerdo /organizamos","116","74.4","115","74.2","1","100","5","71.4","111","74.5","0","NaN","116","74.4","0","NaN","116","74.4","18","78.3","98","73.7","116","74.4","0","NaN","54","72","62","76.5","0","NaN","45","77.6","24","70.6","22","66.7","19","82.6","6","75","0","NaN","27","77.1","30","63.8","42","79.2","17","81","32","74.4","14","77.8","15","83.3","18","58.1","17","85","20","76.9","60","72.3","20","80","5","55.6","31","79.5","0","NaN"
"210","Quien lo tome primero es quien lo usa","29","18.6","29","18.7","0","0","1","14.3","28","18.8","0","NaN","29","18.6","0","NaN","29","18.6","4","17.4","25","18.8","29","18.6","0","NaN","17","22.7","12","14.8","0","NaN","9","15.5","6","17.6","8","24.2","4","17.4","2","25","0","NaN","8","22.9","13","27.7","6","11.3","2","9.5","8","18.6","4","22.2","2","11.1","11","35.5","2","10","2","7.7","13","15.7","5","20","3","33.3","8","20.5","0","NaN"
"211","Yo decido quien lo usa","11","7.1","11","7.1","0","0","1","14.3","10","6.7","0","NaN","11","7.1","0","NaN","11","7.1","1","4.3","10","7.5","11","7.1","0","NaN","4","5.3","7","8.6","0","NaN","4","6.9","4","11.8","3","9.1","0","0","0","0","0","NaN","0","0","4","8.5","5","9.4","2","9.5","3","7","0","0","1","5.6","2","6.5","1","5","4","15.4","10","12","0","0","1","11.1","0","0","0","NaN"
"212","Total","156","100","155","100","1","100","7","100","149","100","0","NaN","156","100","0","NaN","156","100","23","100","133","100","156","100","0","NaN","75","100","81","100","0","NaN","58","100","34","100","33","100","23","100","8","100","0","NaN","35","100","47","100","53","100","21","100","43","100","18","100","18","100","31","100","20","100","26","100","83","100","25","100","9","100","39","100","0","NaN"
"213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
