"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51","NA52","NA53","NA54","NA55","NA56","NA57","NA58","NA59","NA60","NA61","NA62","NA63","NA64","NA65","NA66","NA67","NA68","NA69","NA70","NA71","NA72","NA73","NA74","NA75"
"11","Rr_P10_1_TABLET_EsposoEsposa","21","15.7","21","17.4","0","0","6","13.6","15","16.7","0","0","16","13.9","0","NaN","21","15.7","15","16.7","6","13.6","3","10","18","17.3","11","15.9","10","15.4","0","NaN","5","13.5","2","6.7","8","22.9","0","0","1","12.5","0","NaN","4","11.8","9","17.6","0","0","1","9.1","0","0","0","0","0","0","0","0","0","0","6","21.4","0","0","0","0","0","0","0","0","0","NaN"
"12","Rr_P10_1_TABLET_PapaMama","12","9","11","9.1","1","7.7","5","11.4","7","7.8","0","0","10","8.7","0","NaN","12","9","7","7.8","5","11.4","3","10","9","8.7","8","11.6","4","6.2","0","NaN","2","5.4","3","10","2","5.7","0","0","0","0","0","NaN","7","20.6","5","9.8","0","0","0","0","0","0","2","20","1","6.7","0","0","1","2.8","2","7.1","1","1.7","0","0","0","0","0","0","0","NaN"
"13","Rr_P10_1_TABLET_HijosHijas","36","26.9","35","28.9","1","7.7","4","9.1","32","35.6","0","0","33","28.7","0","NaN","36","26.9","32","35.6","4","9.1","12","40","24","23.1","20","29","16","24.6","0","NaN","12","32.4","13","43.3","7","20","0","0","1","12.5","0","NaN","2","5.9","8","15.7","0","0","5","45.5","0","0","5","50","0","0","9","47.4","8","22.2","10","35.7","33","55","0","0","0","0","0","0","0","NaN"
"14","Rr_P10_1_TABLET_Otro","11","8.2","11","9.1","0","0","2","4.5","9","10","1","5.3","10","8.7","0","NaN","11","8.2","9","10","2","4.5","3","10","8","7.7","4","5.8","7","10.8","0","NaN","3","8.1","2","6.7","4","11.4","0","0","2","25","0","NaN","4","11.8","5","9.8","0","0","2","18.2","1","3.8","2","20","1","6.7","2","10.5","2","5.6","3","10.7","3","5","3","9.4","0","0","5","14.7","0","NaN"
"15","Total","134","100","121","100","13","100","44","100","90","100","19","100","115","100","0","NaN","134","100","90","100","44","100","30","100","104","100","69","100","65","100","0","NaN","37","100","30","100","35","100","24","100","8","100","0","NaN","34","100","51","100","38","100","11","100","26","100","10","100","15","100","19","100","36","100","28","100","60","100","32","100","8","100","34","100","0","NaN"
"16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"17","P10_quienUsaCOMPU","Total_Total_f","Total_Total_pct","P15_Celular_TRUE_f","P15_Celular_TRUE_pct","P15_Celular_FALSE_f","P15_Celular_FALSE_pct","P15_Tablet___Ipad_TRUE_f","P15_Tablet___Ipad_TRUE_pct","P15_Tablet___Ipad_FALSE_f","P15_Tablet___Ipad_FALSE_pct","P15_Computadora__Lap_Top_TRUE_f","P15_Computadora__Lap_Top_TRUE_pct","P15_Computadora__Lap_Top_FALSE_f","P15_Computadora__Lap_Top_FALSE_pct","P15_1_Celular_TRUE_f","P15_1_Celular_TRUE_pct","P15_1_Celular_FALSE_f","P15_1_Celular_FALSE_pct","P15_1_Tablet___Ipad_TRUE_f","P15_1_Tablet___Ipad_TRUE_pct","P15_1_Tablet___Ipad_FALSE_f","P15_1_Tablet___Ipad_FALSE_pct","P15_1_Computadora__Lap_Top_TRUE_f","P15_1_Computadora__Lap_Top_TRUE_pct","P15_1_Computadora__Lap_Top_FALSE_f","P15_1_Computadora__Lap_Top_FALSE_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"18","Rr_P10_1_COMPU_Yo","154","58.6","135","56","0","0","13","72.2","141","57.6","102","95.3","52","33.3","1","50","153","58.6","14","45.2","140","60.3","52","33.3","102","95.3","77","58.8","77","58.3","0","NaN","69","67","37","60.7","26","50","16","45.7","0","0","0","NaN","0","0","63","70.8","24","34.3","0","0","33","55","20","57.1","26","74.3","0","0","34","72.3","0","0","0","0","0","0","0","0","0","0","0","NaN"
"19","Rr_P10_1_COMPU_EsposoEsposa","42","16","40","16.6","0","0","3","16.7","39","15.9","16","15","26","16.7","0","0","42","16.1","7","22.6","35","15.1","26","16.7","16","15","24","18.3","18","13.6","0","NaN","14","13.6","10","16.4","10","19.2","6","17.1","0","0","0","NaN","0","0","20","22.5","12","17.1","0","0","11","18.3","4","11.4","3","8.6","0","0","11","23.4","0","0","0","0","0","0","0","0","0","0","0","NaN"
"20","Rr_P10_1_COMPU_PapaMama","22","8.4","19","7.9","0","0","5","27.8","17","6.9","10","9.3","12","7.7","1","50","21","8","5","16.1","17","7.3","12","7.7","10","9.3","14","10.7","8","6.1","0","NaN","10","9.7","3","4.9","3","5.8","5","14.3","1","8.3","0","NaN","0","0","6","6.7","2","2.9","0","0","8","13.3","3","8.6","5","14.3","1","2","5","10.6","0","0","1","0.9","0","0","3","14.3","0","0","0","NaN"
"21","Rr_P10_1_COMPU_HijosHijas","62","23.6","61","25.3","1","4.5","3","16.7","59","24.1","6","5.6","56","35.9","0","0","62","23.8","6","19.4","56","24.1","56","35.9","6","5.6","26","19.8","36","27.3","0","NaN","23","22.3","16","26.2","14","26.9","6","17.1","0","0","0","NaN","1","1.4","7","7.9","36","51.4","18","56.2","9","15","11","31.4","6","17.1","16","32","6","12.8","14","38.9","57","53.8","0","0","4","19","1","1.1","0","NaN"
"22","Rr_P10_1_COMPU_Otro","23","8.7","22","9.1","1","4.5","2","11.1","21","8.6","6","5.6","17","10.9","0","0","23","8.8","2","6.5","21","9.1","17","10.9","6","5.6","15","11.5","8","6.1","0","NaN","9","8.7","4","6.6","5","9.6","5","14.3","0","0","0","NaN","16","22.2","3","3.4","2","2.9","2","6.2","5","8.3","4","11.4","3","8.6","5","10","3","6.4","3","8.3","2","1.9","1","2.1","4","19","16","18","0","NaN"
"23","Total","263","100","241","100","22","100","18","100","245","100","107","100","156","100","2","100","261","100","31","100","232","100","156","100","107","100","131","100","132","100","0","NaN","103","100","61","100","52","100","35","100","12","100","0","NaN","72","100","89","100","70","100","32","100","60","100","35","100","35","100","50","100","47","100","36","100","106","100","47","100","21","100","89","100","0","NaN"
"24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
