"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51"
"15","Preparatoria o Carrera Técnica","50","46.7","30","53.6","20","39.2","0","NaN","16","35.6","18","66.7","9","47.4","5","41.7","2","50","0","NaN","21","56.8","13","31","9","52.9","7","63.6","10","58.8","11","64.7","9","52.9","8","42.1","9","33.3","3","30","13","56.5","9","40.9","6","50","22","44","0","NaN"
"16","Universidad / Posgrado","44","41.1","22","39.3","22","43.1","0","NaN","26","57.8","8","29.6","7","36.8","3","25","0","0","0","NaN","13","35.1","21","50","7","41.2","3","27.3","4","23.5","5","29.4","5","29.4","10","52.6","15","55.6","5","50","5","21.7","11","50","6","50","22","44","0","NaN"
"17","No sabe/ no contestó","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"18","Total","107","100","56","100","51","100","0","NaN","45","100","27","100","19","100","12","100","4","100","0","NaN","37","100","42","100","17","100","11","100","17","100","17","100","17","100","19","100","27","100","10","100","23","100","22","100","12","100","50","100","0","NaN"
"19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20","P10_CEL","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"21","TRUE","88","82.2","46","82.1","42","82.4","0","NaN","42","93.3","21","77.8","15","78.9","7","58.3","3","75","0","NaN","30","81.1","36","85.7","14","82.4","8","72.7","15","88.2","11","64.7","11","64.7","17","89.5","24","88.9","10","100","17","73.9","18","81.8","8","66.7","45","90","0","NaN"
"22","FALSE","19","17.8","10","17.9","9","17.6","0","NaN","3","6.7","6","22.2","4","21.1","5","41.7","1","25","0","NaN","7","18.9","6","14.3","3","17.6","3","27.3","2","11.8","6","35.3","6","35.3","2","10.5","3","11.1","0","0","6","26.1","4","18.2","4","33.3","5","10","0","NaN"
"23","Total","107","100","56","100","51","100","0","NaN","45","100","27","100","19","100","12","100","4","100","0","NaN","37","100","42","100","17","100","11","100","17","100","17","100","17","100","19","100","27","100","10","100","23","100","22","100","12","100","50","100","0","NaN"
"24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
