"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51"
"14","Secundaria o Carrera Comercial","27","17.3","16","21.3","11","13.6","0","NaN","4","6.9","6","17.6","4","12.1","10","43.5","3","37.5","0","NaN","4","11.4","7","14.9","11","20.8","5","23.8","3","7","5","27.8","1","5.6","8","25.8","5","25","5","19.2","18","21.7","4","16","2","22.2","3","7.7","0","NaN"
"15","Preparatoria o Carrera Técnica","77","49.4","33","44","44","54.3","0","NaN","22","37.9","20","58.8","20","60.6","11","47.8","4","50","0","NaN","21","60","24","51.1","21","39.6","11","52.4","24","55.8","7","38.9","8","44.4","17","54.8","9","45","12","46.2","39","47","11","44","3","33.3","24","61.5","0","NaN"
"16","Universidad / Posgrado","47","30.1","25","33.3","22","27.2","0","NaN","32","55.2","6","17.6","7","21.2","1","4.3","1","12.5","0","NaN","10","28.6","15","31.9","18","34","4","19","16","37.2","5","27.8","9","50","5","16.1","5","25","7","26.9","23","27.7","10","40","2","22.2","12","30.8","0","NaN"
"17","No sabe/ no contestó","1","0.6","0","0","1","1.2","0","NaN","0","0","0","0","1","3","0","0","0","0","0","NaN","0","0","0","0","1","1.9","0","0","0","0","1","5.6","0","0","0","0","0","0","0","0","1","1.2","0","0","0","0","0","0","0","NaN"
"18","Total","156","100","75","100","81","100","0","NaN","58","100","34","100","33","100","23","100","8","100","0","NaN","35","100","47","100","53","100","21","100","43","100","18","100","18","100","31","100","20","100","26","100","83","100","25","100","9","100","39","100","0","NaN"
"19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20","P10_CEL","Total_Total_f","Total_Total_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHIjos_Casado con hijos_f","EdocivilHIjos_Casado con hijos_pct","EdocivilHIjos_Casado sin hijos_f","EdocivilHIjos_Casado sin hijos_pct","EdocivilHIjos_Soltero con Hijos_f","EdocivilHIjos_Soltero con Hijos_pct","EdocivilHIjos_Soltero sin HIjos_f","EdocivilHIjos_Soltero sin HIjos_pct","EdocivilHIjos_No contestó_f","EdocivilHIjos_No contestó_pct"
"21","TRUE","155","99.4","75","100","80","98.8","0","NaN","58","100","34","100","33","100","22","95.7","8","100","0","NaN","34","97.1","47","100","53","100","21","100","42","97.7","18","100","18","100","31","100","20","100","26","100","83","100","25","100","9","100","38","97.4","0","NaN"
"22","FALSE","1","0.6","0","0","1","1.2","0","NaN","0","0","0","0","0","0","1","4.3","0","0","0","NaN","1","2.9","0","0","0","0","0","0","1","2.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2.6","0","NaN"
"23","Total","156","100","75","100","81","100","0","NaN","58","100","34","100","33","100","23","100","8","100","0","NaN","35","100","47","100","53","100","21","100","43","100","18","100","18","100","31","100","20","100","26","100","83","100","25","100","9","100","39","100","0","NaN"
